Site,Sampling Location Description,Location Number,QR Code,Sample Label,Date,CalendarYear,Season,WaterYear,WaterSeason,Lake/Dayton,SRP mg P/L,N0x mg N/L,Urea mg N/L,NH4 mg N/L,TN mg N/L,TP mg P/L,Water Depth (cm),Temp (°C),pH,DO mgL,DO (%Sat),Conductivity (µS/cm),Turbidity (FNU),Notes,Is the data in Survey123?,NOx/SRP Analysis Date,TN/TP Analysis Date,NH4+ Analysis Date,Urea Analysis Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W01962,SPC_080723_7,8/7/2023,2023,Summer,2023,Summer,Dayton,0.721,0.88,0.022986421,0.054575474,1.433,0.71,20,23.7,8.65,7.33,86.7,719,4.6,,yes,9/20/2023,9/21/2023,8/11/2023,9/29/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W02398,081523_SPC_1,8/15/2023,2023,Summer,2023,Summer,Lake,0.016,0.737,0.009976486,0.0119,1.21,0.044,15,20.4,8.2,8.36,92.8,593,2.2,,,9/6/2023,9/13/2023,6/26/2024,10/6/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W02399,081523_SPC_2,8/15/2023,2023,Summer,2023,Summer,Lake,0.0015,1.256,0.0046013,0.030055754,1.89,0.01,15,22.5,7.57,7.33,84.6,550,7.5,,,9/6/2023,9/13/2023,2/23/2024,10/6/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W02401,081523_SPC_4,8/15/2023,2023,Summer,2023,Summer,Lake,0.0015,0.148,0.028994023,0.060472421,0.947,0.101,20,22.4,8.05,7.09,81.7,418.8,21.3,,,9/6/2023,9/13/2023,2/23/2024,10/6/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W02402,081523_SPC_5,8/15/2023,2023,Summer,2023,Summer,Lake,0.224,0.728,0.003705038,0.03395717,1.975,0.419,20,21.8,7.75,6.53,74.6,722,5.1,,,9/6/2023,9/13/2023,2/23/2024,10/6/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W02403,081523_SPC_6,8/15/2023,2023,Summer,2023,Summer,Lake,0.391,0.948,0.048017864,0.049551163,1.403,0.46,25,22.2,7.59,7.32,84.1,741,3.34,,,9/6/2023,9/13/2023,2/23/2024,10/6/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W02404,081523_SPC_7,8/15/2023,2023,Summer,2023,Summer,Lake,0.365,0.938,0.089209182,0.049161302,1.767,0.432,20,22.3,7.53,5.99,69,653,7.2,,,9/6/2023,9/13/2023,2/23/2024,10/6/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01991,SPC_091423_2,9/14/2023,2023,Summer,2023,Summer,Dayton,0.0015,0.206,0.024875498,0.013672723,1.065,0.02,40,19.9,8.44,9.37,103.6,462,5.2,,Yes,9/20/2023,9/21/2023,,12/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01992,SPC_091423_4,9/14/2023,2023,Summer,2023,Summer,Dayton,0.0015,0.133,0.010607688,0.021718554,0.671,0.026,8,20.3,8.42,12.71,141.5,475,16.9,,Yes,9/20/2023,9/21/2023,,12/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01993,SPC_091423_5,9/14/2023,2023,Summer,2023,Summer,Dayton,0.492,0.319,0.017984381,0.020191791,1.507,0.752,40,18.7,8.31,8.04,86.4,717,3.9,,Yes,9/20/2023,9/21/2023,,12/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01994,SPC_091423_6,9/14/2023,2023,Summer,2023,Summer,Dayton,0.563,0.361,0.01624882,0.022893041,1.263,0.718,30,20.5,8.52,9.52,106,723,2.7,,Yes,9/20/2023,9/21/2023,,12/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W01995,SPC_091423_7,9/14/2023,2023,Summer,2023,Summer,Dayton,0.555,0.408,0.014032213,0.018982987,1.502,0.798,30,19.6,8.4,8.56,93.6,716,4.4,,Yes,9/20/2023,9/21/2023,,12/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W02480,103023_SPC_2,10/30/2023,2023,Fall,2024,Fall,Lake,0.0015,0.094,,0.016777585,0.453,0.013,20,11.5,8.1,49.1,5.34,423.5,2.3,hobo completely out of water. When hobo was exchanged it was 6'' off pool bottom. Fixed to be on bottom of pool. ,Yes,12/6/23 (SRP) 12/5/23 (Nox),12/14/2023,3/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W02484,103023_SPC_4,10/30/2023,2023,Fall,2024,Fall,Lake,0.0015,0.03,,0.022928525,0.952,0.031,10,10.3,8.1,9.19,82,502,6.6,,Yes,12/6/23 (SRP) 12/5/23 (Nox),12/14/2023,3/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W02482,103023_SPC_5,10/30/2023,2023,Fall,2024,Fall,Lake,0.451,0.543,,0.033536493,1.341,0.554,45,12.5,8.2,8.56,80.5,762,4,,Yes,12/6/23 (SRP) 12/5/23 (Nox),12/14/2023,3/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W02479,103023_SPC_6,10/30/2023,2023,Fall,2024,Fall,Lake,0.455,0.449,,0.021786021,1.042,0.575,15,11.4,8.2,8.59,78.8,758,1.4,,Yes,12/6/23 (SRP) 12/5/23 (Nox),12/14/2023,3/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W02462,103023_SPC_7,10/30/2023,2023,Fall,2024,Fall,Lake,0.394,0.425,,0.03174173,1.235,0.574,15,12,8.1,8.24,76.5,765,1.4,,Yes,12/6/23 (SRP) 12/5/23 (Nox),12/14/2023,3/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W05092,113023_SPC_2,11/30/2023,2023,Fall,2024,Fall,Lake,0.004,2.362,,0.013132823,2.549,0.01,30,6.3,9.19,14.84,120.8,624,2.7,HOBO REPLACED WITH SOLINST LEVELOGGER AND BARO LOGGER IN SAME LOCATION. LOGGER STILL OUT OF WATER,,12/4/23 (SRP) 12/5/23 (Nox),12/14/2023,3/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W05093,113023_SPC_4,11/30/2023,2023,Fall,2024,Fall,Lake,0.0015,0.477,,0.045205258,0.756,0.014,30,3.8,9.02,14.48,110,505,2.9,HOBO REPLACED WITH SOLINST LEVELOGGER,,12/4/23 (SRP) 12/5/23 (Nox),12/14/2023,3/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W05094,113023_SPC_5,11/30/2023,2023,Fall,2024,Fall,Lake,0.506,2.341,,0.008084887,3.174,0.456,50,3.7,9.35,14.66,111.2,816,1.95,,,12/4/23 (SRP) 12/5/23 (Nox),12/14/2023,3/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W05095,113023_SPC_6,11/30/2023,2023,Fall,2024,Fall,Lake,0.496,2.299,,0.008855179,2.651,0.513,30,4,9.25,16.26,124.4,806,2.5,,,12/4/23 (SRP) 12/5/23 (Nox),12/14/2023,3/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W05096,113023_SPC_7,11/30/2023,2023,Fall,2024,Fall,Lake,0.45,2.268,,0.004211111,2.922,0.512,35,4.2,9.22,15.16,116.6,813,1.6,,,12/4/23 (SRP) 12/5/23 (Nox),12/14/2023,3/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W05101,121923_SPC_2,12/19/2023,2023,Winter,2024,Fall,Lake,0.0015,2.008,,0.020865294,2.604,0.013,35,3.3,8.71,12.22,91.7,611,3.2,LOGGER STILL OUT OF WATER,,2/1/2024,2/7/2024,3/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W05102,121923_SPC_4,12/19/2023,2023,Winter,2024,Fall,Lake,0.0015,0.678,,0.033365608,1.315,0.034,15,2.2,8.81,10.12,73.8,601,6.7,,,2/1/2024,2/7/2024,3/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W05109,121923_SPC_5,12/19/2023,2023,Winter,2024,Fall,Lake,0.41,2.279,,0.304670926,3.461,0.414,50,3.2,8.67,12.84,96.1,812,3.8,,,2/1/2024,2/7/2024,3/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W05110,121923_SPC_6,12/19/2023,2023,Winter,2024,Fall,Lake,0.429,2.117,,0.28401527,3.561,0.446,30,2.9,8.86,14.5,107.9,813,2.8,,,2/1/2024,2/7/2024,3/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W05111,121923_SPC_7,12/19/2023,2023,Winter,2024,Fall,Lake,0.391,2.21,,0.310175677,3.702,0.45,55,2.6,8.4,13.23,97.5,823,2.3,,,2/1/2024,2/7/2024,3/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W05069,011524_SPC_1,1/15/2024,2024,Winter,2024,Winter,Lake,0.027,7.83,,0.007225604,8.193,0.051,50,0,7.47,14.63,100.3,640,8.5,falling limb - 1in of precip in 24hrs,,2/1/2024,2/8/2024,4/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W05070,011524_SPC_2,1/15/2024,2024,Winter,2024,Winter,Lake,0.006,2.383,,0.007615279,2.585,0.005,40,0.2,7.28,14.24,98.2,649,5.4,falling limb - 1in of precip in 24hrs,,2/1/2024,2/8/2024,4/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W05071,011524_SPC_3,1/15/2024,2024,Winter,2024,Winter,Lake,0.0015,5.22,,0.058484361,5.521,0.038,40,0,7.19,12.4,85,634,11.8,falling limb - 1in of precip in 24hrs,,2/1/2024 (NOX) 9/16/24 (SRP),2/8/2024,4/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W05072,011524_SPC_4,1/15/2024,2024,Winter,2024,Winter,Lake,0.003,1.465,,0.072570734,1.979,0.011,40,0,7.36,11.31,77.5,595,22.7,falling limb - 1in of precip in 24hrs,,2/1/2024,2/8/2024,4/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W05073,011524_SPC_5,1/15/2024,2024,Winter,2024,Winter,Lake,0.103,7.708,,0.167645114,8.334,0.246,60,0,7.56,14.58,99.9,619,46.7,falling limb - 1in of precip in 24hrs,,2/1/2024,2/8/2024,4/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W05074,011524_SPC_6,1/15/2024,2024,Winter,2024,Winter,Lake,0.174,6.301,,0.27710515,7.938,0.332,45,0,7.7,14.55,99.7,552,58.7,falling limb - 1in of precip in 24hrs,,2/1/2024,9/19/2024,4/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W05075,011524_SPC_7,1/15/2024,2024,Winter,2024,Winter,Lake,0.138,5.164,,0.404452125,5.42,0.343,40,0,7.63,14.01,96,534,70.8,falling limb - 1in of precip in 24hrs,,2/1/2024,2/8/2024,3/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Field Duplicate - Springcreek,Dupe,W05081,011524_SPC_DUPE1,1/15/2024,2024,Winter,2024,Winter,Lake,0.018,5.933,,0.010757446,8.14,0.05,50,,,,,,,falling limb - 1in of precip in 24hrs. no physiochemical measurements taken. Duplicate of springcreek sample,,2/1/2024,2/8/2024,4/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W05210,021524_SPC_1,2/15/2024,2024,Winter,2024,Winter,Lake,0.003,3.008,,0.003647796,5.041,0.01454508,55,3.7,7.79,14.47,109.3,643,1.7,,,4/8/2024,4/17/2024,3/18/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W05255,021524_SPC_2,2/15/2024,2024,Winter,2024,Winter,Lake,0.0015,3.508,,0.001117605,4.949,0.014668588,35,7.5,7.66,12.88,107.5,568,4.9,,,4/8/2024,4/17/2024,3/18/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W05254,021524_SPC_3,2/15/2024,2024,Winter,2024,Winter,Lake,0.0015,1.294,,0.002564075,3.065,0.021745574,20,5.1,7.85,18.67,146.7,517,2.6,Large amount of algae on the pool bottom,,4/8/2024,4/17/2024,3/18/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W05172,021524_SPC_4,2/15/2024,2024,Winter,2024,Winter,Lake,0.0015,0.654,,0.002364802,1.545,0.046195965,30,8.3,7.96,13.63,116.2,547,5.3,,,4/8/2024,4/17/2024,3/18/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W05160,021524_SPC_5,2/15/2024,2024,Winter,2024,Winter,Lake,0.019,2.525,,0.00838319,4.548,0.07049403,65,5.7,7.72,12.47,99.7,704,3.2,,,4/8/2024,4/17/2024,3/18/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W05158,021524_SPC_6,2/15/2024,2024,Winter,2024,Winter,Lake,0.018,1.966,,0.029682934,4.212,0.081683821,30,5.7,7.9,13,103.9,718,3.1,,,4/8/2024,4/17/2024,3/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W05084,021524_SPC_7,2/15/2024,2024,Winter,2024,Winter,Lake,0.021,2.731,,0.02735427,4.163,0.071873199,20,5.7,7.83,12.82,102.1,719,3.3,,,4/8/2024,4/17/2024,3/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Blank,Blank,W05303,021524_SPC_BLANK,2/15/2024,2024,Winter,2024,Winter,Lake,0.0015,0.03,,0.0618,,,,,,,,,,,,4/8/2024,,5/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Duplicate,Dupe,W05162,021524_SPC_DUPE,2/15/2024,2024,Winter,2024,Winter,Lake,0.0015,3.563,,0.005914643,4.683,0.011704405,55,3.5,7.8,14.47,109.3,643,1.6,,,4/8/2024,4/17/2024,3/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W05319,031424_SPC_1,3/14/2024,2024,Winter,2024,Winter,Lake,0.006,6.093,,0.0869,7.402,0.023,50,11.5,8.07,11.11,102.3,633,5.2,,,4/8/2024,4/16/2024,5/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W05320,031424_SPC_2,3/14/2024,2024,Winter,2024,Winter,Lake,0.0015,4.415,,0.0104,5.268,0.005,60,13,7.77,11.33,107.7,604,3.8,,,4/8/2024,4/16/2024,5/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W05321,031424_SPC_3,3/14/2024,2024,Winter,2024,Winter,Lake,0.0015,4.269,,0.0424,5.355,0.01,35,13,7.89,11.47,109,593,2.4,,,4/8/2024,4/16/2024,5/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W05322,031424_SPC_4,3/14/2024,2024,Winter,2024,Winter,Lake,0.0015,1.191,,0.0145,2.284,0.038,55,14.6,7.93,12.05,118.9,567,9.8,,,4/8/2024,4/16/2024,5/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W05323,031424_SPC_5,3/14/2024,2024,Winter,2024,Winter,Lake,0.016,6.132,,0.009,6.99,0.092,60,11.5,8.06,10.43,96,654,11.4,,,4/8/2024,4/16/2024,5/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W05324,031424_SPC_6,3/14/2024,2024,Winter,2024,Winter,Lake,0.026,5.874,,0.006,7.554,0.127,60,11.8,8.17,10.51,97.4,674,14.2,,,4/8/2024,4/16/2024,5/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W05325,031424_SPC_7,3/14/2024,2024,Winter,2024,Winter,Lake,0.022,5.922,,0.0219,7.481,0.114,50,11.6,8.12,10.48,97,672,14.1,,,4/8/2024,4/16/2024,5/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Duplicate,Dupe,W05326,031424_SPC_DUPE,3/14/2024,2024,Winter,2024,Winter,Lake,0.003,6.316,,0.01,6.964,0.03,50,11.1,8.02,11.15,101.7,628,5.8,,,4/8/2024,4/16/2024,5/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W05315,040424_SPC_1,4/4/2024,2024,Spring,2024,Spring,Lake,0.068,3.996,,0.0332,5.971,0.216,-999,8.4,7.84,11.13,95.1,375.3,56.7,usgs troy gmr gage reached 12.7 ft. flowing too fast to get water depth. Taken from the road,,5/23/2024,4/24/24 (TP) 4/25/24 (TN),5/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W05316,040424_SPC_2,4/4/2024,2024,Spring,2024,Spring,Lake,0.08,4.222,,0.0357,5.431,0.228,50,10.1,8.24,10.73,94.9,368,63.3,,,5/23/2024,4/24/24 (TP) 4/25/24 (TN),5/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
